epoch,accuracy,loss,val_accuracy,val_loss
0,0.35787433385849,1.3356047868728638,0.43515849113464355,1.2835708856582642
1,0.6119568347930908,1.019742727279663,0.6253602504730225,0.9526790976524353
2,0.7852200269699097,0.5981236696243286,0.6916426420211792,0.7950875759124756
3,0.849155843257904,0.4163970351219177,0.7031700015068054,0.7866899371147156
4,0.8823692202568054,0.329449862241745,0.7002881765365601,0.8328493237495422
5,0.9086631536483765,0.26113152503967285,0.7002881765365601,0.896059513092041
6,0.9258233904838562,0.21990537643432617,0.6916426420211792,0.9660407900810242
7,0.9399390816688538,0.18008525669574738,0.680115282535553,1.041263222694397
8,0.9510102272033691,0.15276408195495605,0.6974063515663147,1.069615125656128
9,0.9590368270874023,0.13530737161636353,0.7002881765365601,1.171204924583435
10,0.9642956256866455,0.11709290742874146,0.6772334575653076,1.226778268814087
11,0.9665098190307617,0.10864484310150146,0.6887608170509338,1.2952139377593994
12,0.9709382653236389,0.09761069715023041,0.7060518860816956,1.26859450340271
13,0.9725989699363708,0.0883801132440567,0.6916426420211792,1.3617979288101196
14,0.972875714302063,0.08357890695333481,0.6657060384750366,1.4367882013320923
15,0.9759202599525452,0.08084078878164291,0.6887608170509338,1.448651909828186
16,0.975089967250824,0.07902536541223526,0.6887608170509338,1.4279693365097046
17,0.976473867893219,0.07025143504142761,0.6916426420211792,1.4997369050979614
18,0.977027416229248,0.06787136197090149,0.6916426420211792,1.549935221672058
19,0.9775809645652771,0.06365841627120972,0.6858789920806885,1.5854469537734985
20,0.9775809645652771,0.058704618364572525,0.680115282535553,1.6099432706832886
21,0.977027416229248,0.06479160487651825,0.6916426420211792,1.656343698501587
22,0.9784113168716431,0.06213847175240517,0.6858789920806885,1.62980318069458
23,0.9792416095733643,0.057800669223070145,0.6829971075057983,1.6550134420394897
24,0.9786880612373352,0.054816801100969315,0.6743515729904175,1.746586561203003
